account,name,part_number,manufacturer,description,list_price,list_price_unit,is_taxable,is_package
1,Apache HD Receiver Coil Cable,ATI-024104,Trimble,,295,,TRUE,FALSE
1,GCS900 TR-Dual Dozer Install,74703-10,Trimble,,2500,,TRUE,FALSE
1,AG Single Control GCS300 w/VM420,AG-GCS300-020,Trimble,,3950,,TRUE,FALSE
1,GL512 Grade Laser w/HL750,GL512,Trimble,,2395,,TRUE,FALSE
1,GCS600 Cross Slope w/Single Sensor,GCS600-S3,Trimble,,9450,,TRUE,FALSE
1,Auto Side Shift JD D Hydraulic Kit,0365-4170,Trimble,,2395,,TRUE,FALSE
1,GCS600 Volvo B MG Display Kit,0395-0760,Trimble,,2895,,TRUE,FALSE
1,Power Module,PM400,Trimble,,795,,TRUE,FALSE
1,Accugrade 3D Automatics Option Key,92040-80,Trimble,,15110,,TRUE,FALSE
1,Apache Control Box Mounting Bracket,ATI-950054,Trimble,,50,,TRUE,FALSE
1,CAT D5N Hydraulic Kit,0792-8230,Trimble,,3995,,TRUE,FALSE
1,Single Grade Laser w/HR550,GL412,Trimble,,2395,,TRUE,FALSE
1,Cable Dozer MS980/990 Coiled,0395-9450,Trimble,,595,,TRUE,FALSE
1,PILOT Propotional Hydraulic Valve,SLPV,Trimble,,2195,,TRUE,FALSE
1,Supplies,SUPP-Supplies,Trimble,,130,,TRUE,FALSE
1,"SPS Series, Robotic Power Kit",SPS1000,Trimble,"3 Batteries, Multi-Battery Holder, Charger w/Power Supply, & Case",1784,,TRUE,FALSE
1,Installation Brackets,SUPP-BRACKET,Trimble,,1887,,TRUE,FALSE
1,"36"" Lath",36LATH,Trimble,,22.95,,TRUE,FALSE
1,Training (half day),SUPP-TRAIN4,Trimble,half day,750,,TRUE,FALSE
1,TSC2 GPS Accessory Kit,56044-00,Trimble,TSC2 Pole Bracket & Lemo to 9-pin Data Cable,320,,TRUE,FALSE
1,Apache Battery/Power Cable,ATI-024012-15,Trimble,,106.25,,TRUE,FALSE
1,Tri-Max Standard Quick Clamp Tripod,90550,Trimble,,420.95,,TRUE,FALSE
1,GL720 Dual Grade Pkg  w/HL700,GL720,Trimble,,5295,,TRUE,FALSE
1,Apache CB26 Automatic Control Panel,ATI-992600-09,Trimble,,1495,,TRUE,FALSE
1,Training (half day),SUPP-TRAIN4,Trimble,half day,750,,TRUE,FALSE
1,Upgrade - SPS881 to Glonass,UPG60989-20,Trimble,,1500,,TRUE,FALSE
1,Zephyr Model 2-L1/L2/L5/G1/G2 Geod.,57971-10,Trimble,,2995,,TRUE,FALSE
1,SPS852 Precision Base Station Upg.,IS50989-71,Trimble,,3000,,TRUE,FALSE
1,GL720 Recharge Laser w/HR500,AG-GL720-1,Trimble,,5495,,TRUE,FALSE
1,Apache Coiled Sensor to Panel Cable,ATI-024104,Trimble,,295,,TRUE,FALSE
1,SNR 900/2.4 Rubber Whip Antenna,66540-10,Trimble,,60,,TRUE,FALSE
1,TSC2/S6 Robotic Accessory Kit,56045-00,Trimble,"Includes: 6-pin Hirose to 9-pin Data Cable, TSC2 Pole Bracket, & 6-pin to PC USB",425,,TRUE,FALSE
