account,owner,company,oem,oem_rep,milestone,estimated_value,name
1,1,1,1,1,1,50000,Base and Rover
1,1,3,,,2,60000,Dual MS990
1,2,5,,,3,30000,Cat D6K SiteVision
1,3,7,2,2,4,100000,GCS and Cab Kit
1,4,9,,,5,12000,Supervisor Kit
1,5,11,,,1,33000,"Data Collector, Base, and Rover"
1,6,13,3,3,2,65000,Robot
1,1,15,,,3,77000,2D Paving System
1,1,17,,,4,41000,Alexander Contracting - Base and Rover
1,2,19,4,4,5,16000,Comanco - Dual MS990
1,3,21,,,1,3000,Florida Geological Survey - Cat D6K SiteVision
1,4,23,,,2,8000,Front Line Surveying & Mapping - GCS and Cab Kit
1,5,25,1,1,3,14000,G.A. West - Supervisor Kit
1,6,27,,,4,17000,"Galloway National Golf Club - Data Collector, Base, and Rover"
1,1,29,,,5,21000,Gary Ingram Paving and Grading - Robot
1,1,31,2,2,1,50000,GCI - 2D Paving System
1,2,33,,,2,60000,Graham Brothers - Base and Rover
1,3,35,,,3,30000,Great Lakes Dredge & Dock Company - Dual MS990
1,4,37,3,3,4,100000,"Gulfstream Contractors, Inc. - Cat D6K SiteVision"
1,5,39,,,5,12000,Guthrie Construction - GCS and Cab Kit
1,6,41,,,1,33000,"H & J Contracting, Inc. - Supervisor Kit"
1,1,43,4,4,2,65000,"Hamilton Masonry - Data Collector, Base, and Rover"
1,1,45,,,3,77000,Hewitt Contracting - Robot
1,2,47,,,4,41000,Hill Construction - 2D Paving System
1,3,49,1,1,5,16000,HLCM Group - Base and Rover
1,4,51,,,1,3000,Hosea O. Weaver & Sons - Dual MS990
1,5,53,,,2,8000,IBI Group - Cat D6K SiteVision
1,6,55,2,2,3,14000,INDIAN RIVER COUNTY - GCS and Cab Kit
1,1,57,,,4,17000,"J & B Tool, Inc. - Supervisor Kit"
1,1,59,,,5,21000,"J. B. Coxwell Contracting - Data Collector, Base, and Rover"
1,2,61,3,3,1,50000,"John Carlo, Inc. - Robot"
1,3,63,,,2,60000,"Jr. Davis Construction Co, Inc. - 2D Paving System"
1,4,65,,,3,30000,Kelly Tractor - Base and Rover
1,5,67,4,4,4,100000,Kiewit Southern  - Dual MS990
1,6,69,,,5,12000,Lane 408 Construction - Cat D6K SiteVision
1,1,71,,,1,33000,Lane Construction - GCS and Cab Kit
1,1,73,1,1,2,65000,Lockheed Martin - Supervisor Kit
1,2,75,,,3,77000,"LSR FLT Geosystems - Data Collector, Base, and Rover"
1,3,77,,,4,41000,Lykes Brothers Inc. - Robot
1,4,1,2,2,5,16000,Mark Randell - 2D Paving System
1,5,2,,,1,3000,Maximus Trading Corp. - Base and Rover
1,6,3,,,2,8000,Mckim & Creed - Dual MS990
1,1,4,3,3,3,14000,Moretrench - Cat D6K SiteVision
1,1,5,,,4,17000,Nortrax - GCS and Cab Kit
1,2,6,,,5,21000,Panattoni Construction - Supervisor Kit
1,3,7,4,4,1,50000,"Panhandle Grading & Paving, Inc. - Data Collector, Base, and Rover"
1,4,8,,,2,60000,"PCL Civil Constructors, Inc. - Robot"
1,5,9,,,3,30000,Peed Bros. - 2D Paving System
1,6,10,1,1,4,100000,Peed Brothers - Base and Rover
1,1,11,,,5,12000,Pepper Contracting Services - Dual MS990
1,1,12,,,1,33000,Peter Dueck - Cat D6K SiteVision
1,2,13,2,2,2,65000,Plateau Excavation - GCS and Cab Kit
1,3,14,,,3,77000,Precision Turf - Supervisor Kit
1,4,15,,,4,41000,"Primal Innovation - Data Collector, Base, and Rover"
1,5,16,3,3,5,16000,Prince Contracting - Robot
1,6,17,,,1,3000,"Prince Contracting Co, Inc. - 2D Paving System"
1,1,18,,,2,8000,QGS - Base and Rover
1,1,19,4,4,3,14000,QGS Development - Dual MS990
1,2,20,,,4,17000,"R. E. Arnold Construction, Inc. - Cat D6K SiteVision"
1,3,21,,,5,21000,"Racon, Inc. - GCS and Cab Kit"
1,4,22,1,1,1,50000,Rainey Construction - Supervisor Kit
1,5,23,,,2,60000,"Ralston Land Surveying Inc. - Data Collector, Base, and Rover"
1,6,24,,,3,30000,Reid Construction - Robot
1,1,25,2,2,4,100000,"RIDGDILL & SON, INC. - 2D Paving System"
1,1,26,,,5,12000,Ringpower - Base and Rover
1,2,27,,,1,33000,"RIPA & Associates, Inc. - Dual MS990"
1,3,28,3,3,2,65000,"Saiia Construction, LLC - Cat D6K SiteVision"
1,4,29,,,3,77000,Sarasota County - GCS and Cab Kit
1,5,30,,,4,41000,SC Barker - Supervisor Kit
1,6,31,4,4,5,16000,"Shaw Group - Data Collector, Base, and Rover"
1,1,32,,,1,3000,Skanska Construction - Robot
1,1,33,,,2,8000,Spatial Innovision Ltd - 2D Paving System
1,2,34,1,1,3,14000,Sports Turf Management LLC - Base and Rover
1,3,35,,,4,17000,"Survey Products Unlimited, Inc. - Dual MS990"
1,4,36,,,5,21000,Tampa Contracting - Cat D6K SiteVision
1,5,37,2,2,1,50000,Thompson Tractor Co. - GCS and Cab Kit
1,6,38,,,2,60000,G.A. West - Supervisor Kit
1,1,39,,,3,30000,"Galloway National Golf Club - Data Collector, Base, and Rover"
1,1,40,3,3,4,100000,Gary Ingram Paving and Grading - Robot
1,2,41,,,5,12000,GCI - 2D Paving System
1,3,42,,,1,33000,Graham Brothers - Base and Rover
1,4,43,4,4,2,65000,Great Lakes Dredge & Dock Company - Dual MS990
1,5,44,,,3,77000,"Gulfstream Contractors, Inc. - Cat D6K SiteVision"
1,6,45,,,4,41000,Guthrie Construction - GCS and Cab Kit
1,1,46,1,1,5,16000,"H & J Contracting, Inc. - Supervisor Kit"
1,1,47,,,1,3000,"Hamilton Masonry - Data Collector, Base, and Rover"
1,2,48,,,2,8000,Hewitt Contracting - Robot
1,3,49,2,2,3,14000,Hill Construction - 2D Paving System
1,4,50,,,4,17000,Lykes Brothers Inc. - Base and Rover
1,5,51,,,5,21000,Mark Randell - Dual MS990
1,6,52,3,3,1,50000,Maximus Trading Corp. - Cat D6K SiteVision
1,1,53,,,2,60000,Mckim & Creed - GCS and Cab Kit
1,1,54,,,3,30000,Moretrench - Supervisor Kit
1,2,55,4,4,4,100000,"Nortrax - Data Collector, Base, and Rover"
1,3,56,,,5,12000,Panattoni Construction - Robot
1,4,57,,,1,33000,"Panhandle Grading & Paving, Inc. - 2D Paving System"
1,5,58,1,1,2,65000,"PCL Civil Constructors, Inc. - Base and Rover"
1,6,59,,,3,77000,Peed Bros. - Dual MS990
1,1,60,,,4,41000,Peed Brothers - Cat D6K SiteVision
1,1,61,2,2,5,16000,Pepper Contracting Services - GCS and Cab Kit
