account,name,part_number,manufacturer,description,list_price,list_price_unit,is_taxable,is_package
1, 10' Laser Rod w/Rails in 10ths,GR1000T,LaserLine,,142.56,,1,0
1,.18m Hirose to USB Stick/CF Reader,73841019,Trimble,,30.6,,1,0
1,.25m Extension Pole,5145-00-FLY,Seco,,19.47,,1,0
1,.5m Lemo to 9 pin (M) Cable,37779,Trimble,,98.6,,1,0
1,0.1m 6 pin Hirose to Hirose Cable,53094001,Trimble,,66.5,,1,0
1,0.4m Hirose to Hirose Cable,572208043,Trimble,,34,,1,0
1,0.5m External Radio to TSCe Cable,53006007,Trimble,,59.5,,1,0
1,"1 1/2"" RAM Ball w/ 2 1/2"" Base",2501-0453,Trimble,,21,,1,0
1,"1 1/2"" x 1/4"" PK Nails",813254,Sokkia,,10.75,,1,0
1,1 1/4 X 3/16 PK Nails,813347,Sokkia,,7.87,,1,0
1,1 Foot Pole Extension,5130-00-RED,Seco,,24.71,,1,0
1,1.0m 6 Hirose to 6 Hirose Cable,73837001,Trimble,S6,66.5,,1,0
1,"1.0m, Hirose to Hirose Cable",572202188,Trimble,,37.4,,1,0
1,1.2m 4 Pin Hirose to Lemo Cable,44147,Trimble,,146.25,,1,0
1,1.5 x 4 Hydraulic Cylinder,286-200,,,99.3,,1,0
1,1.5m 6 pin Hirose to Lemo Cable,53004007,Trimble,,132.6,,1,0
1,1.5m Lemo to DB9 Cable,32960,Trimble,,108.75,,1,0
1,1.5m Lemo to DB9 Cable,59046,Trimble,,108.75,,1,0
1,1.75m Hirose to Hirose Spiral Cable,572208068,Trimble,,37.4,,1,0
1,1' Aluminum Range Pole Extension,31165,Trimble,,18.75,,1,0
1,"1"" X 2"" X 36"" Wooden Stake",36Stake,,50 Stakes/Bundle,18,,1,0
1,"1"" X 2"" X 48"" Wooden Stake",48Stake,,25 Stakes/Bundle,11.5,,1,0
1,1/4 BNC Antenna,R71908293,Trimble,,21,,1,0
1,"10 Pin DEMAG, ABG Paver Cable",0791-6190,Trimble,,233.35,,1,0
1,10 pin Qk Dis. To 10 Soc 90 Cable,0793-0260-550,Trimble,55 Feet in Length,244.3,,1,0
1,10 pin Qk Dis. To 6 Soc 90 Cable,0793-0950,Trimble,,145.6,,1,0
1,10 Qk to 6 Straight Coil Cable,0794-2350,Trimble,,136.5,,1,0
1,10 X 10 Standard Field Book,E64-10X10,Elan,,3.94,,1,0
1,10' Cutting Edge,2000-00325,,,0,,1,0
1,"10"" Snap In Pipe Target",730,,,31.2,,1,0
1,100' Ethernet Power Cable,KTL-100XC,,,185,,1,0
1,"100' Fiberglass Tape, 10ths",74-Y1001,CST,,14,,1,0
1,100' Nyclad Steel Tape 10ths A End,82-10010A,CST,,26.95,,1,0
1,100' Nyclad Steel Tape 10ths B End,82-10010B,CST,,26.95,,1,0
1,100' Nyclad Steel Tape Inches B End,82-10080B,CST,,26.95,,1,0
1,1066D 6' Red End Engineers Rule,120575,Sokkia,,12.34,,1,0
1,1066DM Folding Wood Rule 10ths/Met.,120576,Sokkia,,12.34,,1,0
1,10ft. Tripod Leg Set,302612-06,Trimble,,276.25,,1,0
1,"110V Charger (HV301, LL400, LL500)",Q102734,Trimble,"110V Charger For: HV301, LL300, LL300,GPLUS, 1242",22.75,,1,0
1,110V Charger For 67xx Lasers,727477,Leica,Replaced by Pt#758019 (use when ordering),80.75,,1,0
1,"12 Pin Can, Terminator",0395-9210,Trimble,,649.738,,1,0
1,12' Composite Prism Pole,90282,Crain,,143.47,,1,0
1,12' Gammon Reel,812448,Sokkia,,13,,1,0
1,12' Philly Rod,07-635,CST,,102,,1,0
1,12' WeedSeeker Sensor Cable,400-1-025-144,Trimble,,0,,1,0
1,"12"" Open Clamp Bipod",5217-15-ABK,Seco,,31.17,,1,0
1,"12"" Snap In Pipe Target",732,,,32.5,,1,0
1,1280/1285 NIMH Battery Pack,1280-1420,Trimble,,94.25,,1,0
1,12ft. Data/Power Cable DB9 to 12pin,30945,Trimble,,70,,1,0
1,12m Exc. Angle Sensor Boom Cable,52142-12,Trimble,12m,175,,1,0
1,12V Battery Charger (HPB),56658,Trimble,For HPB Radio 12V Battery,0,,1,0
1,12V Battery w/ Yellow Bag,56657-00,Trimble,For HPB450,172.2,,1,0
1,12VDC Proportional Hyd. Valve,PSV3S17-12,Trimble,,0,,1,0
1,13 x 6.5 x 6 Tire Assy,142-510,,,26.95,,1,0
1,13' 4 Section Aluminum Grade Rod,7301-40,Seco,,31.98,,1,0
1,13' Aluminum Grade Rod,06-813,CST,,32.45,,1,0
1,13' Fiberglass Grade Rod - Inches,92022,Crain,,44.55,,1,0
1,"13"" Antenna Mast Mount",71122-00,Trimble,,210,,1,0
1,14 FT Aluminum MC Tripod,60-MTCE,CST,,581.75,,1,0
1,"14"" Machete",9500-13,Seco,,11.96,,1,0
1,"14"" marking pins",04-501,CST,,17.2,,1,0
1,15' 450Mhz Radio Antenna Cable,A-00911,WSC,,0,,1,0
1,"15"" Rim Assy",JC15X65BS,,,21.25,,1,0
1,"15""-21"" Large Target Insert",702-02,,,9.5,,1,0
1,15ft Laser Rod in Tenths,GR1450T,LaserLine,,200.16,,1,0
1,16 Button Spectra Cursor for Rollup,0320-0540,Trimble,,161.4,,1,0
1,16' Fiberglass Grade Rod - Inches,92042,Crain,,55.95,,1,0
1,18.5x8.5x8 Tire Assy,Z343060,,,29.74,,1,0
1,"18"" Safety Cone",TC18CONE,SPI,,5.05,,1,0
1,"18"" Stake Bag",8090-00-FLY,Seco,,35.95,,1,0
1,18V 3.4A Power Supply,62546,Trimble,For use with both survey and machine control base and rover units.,34,,1,0
1,18V Power Supply,48800-00,Trimble,"Universal Power Supply for TSCE, SNB, SPSX50, & Dual Batt. Charger",91.487,,1,0
1,"2 1/2"" x 1/4"" PK Nails",813256,Sokkia,,15.33,,1,0
1,2 1/2X Sight Mark 2,17-5502-1,CST,,54.4,,1,0
1,2 Sensor Arm w/Breakaway Hinge,850-1-126,Trimble,,0,,1,0
1,2 X 1/4 PK Nails,813255,Sokkia,,12.36,,1,0
1,2-Way Messaging w/MDT 12 mo.,CC2WAY-SVC,Trimble,Requires MDT Hardware,0,,1,0
1,2.0 Aluminum Rover Rod,5125-00-YEL,Seco,,56.97,,1,0
1,2.4 Georadio Antenna,53009009,Trimble,,17.48,,1,0
1,2.4 Georadio Antenna,55000398,Trimble,,15.15,,1,0
1,2.4 Georadio Antenna,59000398,Trimble,,17.48,,1,0
1,2.4Ghz External Radio Kit,SPS4201,Trimble,,1540,,1,0
1,2.4m Lemo to Lemo Cable,31288-02,Trimble,,168.75,,1,0
1,2.4m Lemo to Lemo w/Pull Wire,31288L,WSC,,145,,1,0
1,2.5 x 4 Hydraulic Cylinder,215-179,,,66.5,,1,0
1,2.5M Carbon Fiber Rover Pole,5129-50,Seco,"Fixed Tip, Dual Graduation",169.17,,1,0
1,2.5m Hirose to Hirose Cable,572202216,Trimble,,40.8,,1,0
1,"2.5m Hirose to USB Cable (S6, SPS)",73840019,Trimble,,45.5,,1,0
1,"2.5M, 6 pin Hirose to Hirose Cable",73838019,Trimble,,74.93,,1,0
1,2.6m DG Telescopic Rod (Power Rod),571126318,Trimble,"Dual Graduated, w/o Battery",236.25,,1,0
1,2.6M QLV Prism Pole w/Adj. Tip,5801-10,Seco,,101.97,,1,0
1,2' Smart Level Soft Case,92908,M & D,,14.32,,1,0
1,2' Smartlevel,92288,M & D,,104.43,,1,0
1,20' Grade Rod in 10ths,92031,Seco,,64.32,,1,0
1,"200' Fiberglass Tape, 10ths",74-Y2001,CST,,29.4,,1,0
1,200' Nyclad Steel Tape 10ths A End,82-20010A,CST,,48.95,,1,0
1,200' Nyclad Steel Tape 10ths B End,82-20010B,CST,,48.95,,1,0
1,200' Nyclad Steel Tape 8ths A End,82-20080A,CST,,48.95,,1,0
1,200' Tenths Keson Tape Measure,OTR10200,,Open Type Reel,0,,1,0
1,20X Trimble Auto Level,AL220,Trimble,,175,,1,0
1,"22"" Leather Machete Sheath",813001,Sokkia,,16,,1,0
1,"22"" Machete",813171,Sokkia,,5.53,,1,0
1,"220V Charger For LB9, LB400, LB900",726035,Leica,,22.75,,1,0
1,"24"" Heavy Duty Stake Bag",8092-20-ORG,Seco,,28.48,,1,0
1,"24"" Lath Bag",8103-00-ORG,Seco,,19.98,,1,0
1,"24"" Machete",813172,Sokkia,,6.33,,1,0
1,"24"" WeedSeeker Sensor Cable",400-1-025-24,Trimble,,0,,1,0
1,2400Mhz RP TNC Antenna,81004,Trimble,,36,,1,0
1,25' SVR Oval Grade Rod - Inches,98011,Crain,,115.56,,1,0
1,25cm Pole Extension,52607,Trimble,,127.5,,1,0
1,25ft SV Machine Antenna Cable,33980-25,Trimble,Black Antenna Cable Dozer Install,346.5,,1,0
1,25ft. Radio Cable SN900 (SV Base),38968-25,Trimble,,206.5,,1,0
1,"28"" Traffic Cone",TC28CONE,SPI,,12,,1,0
1,2D Auto to 3D Indicate Option Upg.,91040-74,Trimble,,6825,,1,0
1,2D CB420 Cab Kit w/Dual ST400,66520-12,Trimble,,4550,,1,0
1,2D Control System HW/SW Ext. Warr.,EWHH-MC2D,Trimble,,1186.5,,1,0
1,2D Operators Interface Ext. Warrant,EW2DOIB,Trimble,,262.5,,1,0
1,2D Remote Switch Assy.,0793-6450,Trimble,,334.1,,1,0
1,2D to GCS900 3D Upgrade Option Key,91040-78,Trimble,,9065,,1,0
1,2m Carbon Fiber Graduated Rover Rod,5128-00-GT,Seco,,190.23,,1,0
1,2m CB Snap-Lock & Bipod Kit,88774-10,Trimble,,339,,1,0
1,"2m Range Pole, Rod Only",55201-01,Trimble,,171.5,,1,0
1,2X Magnifying Stadia Hand Level,804370,Sokkia,,64.2,,1,0
1,2x3x21 Blue Wire Flag,2321B,Presco,,2.77,,1,0
1,2x3x21 Green Glo Wire Flag,2321GG,Presco,,2.77,,1,0
1,2x3x21 Orange Wire Flag,2321OG,Presco,,2.77,,1,0
1,2x3x21 Pink Wire Flag,2321PG,Presco,,2.77,,1,0
1,2x3x21 Red Wire Flag,2321R,Presco,,2.77,,1,0
1,2x3x21 White Wire Flag,2321W,Presco,,2.77,,1,0
1,3 Section Grade Rod - Inches,0205-2510,Trimble,,39,,1,0
1,3 x 10 Hydraulic Cylinder,215-122,,,77.26,,1,0
1,"3.0m, Car Battery to Hirose Cable",73836001,Trimble,S6,62.3,,1,0
1,"3.0m, Car Battery to Hirose Cable",73836019,Trimble,,62.3,,1,0
1,3' MS750 Data/Power Cable,45502M,WSC,,89,,1,0
1,30' 5700 to Zephyr Antenna Cable,22628-10,WSC,,85,,1,0
1,30' Lemo to Lemo Cable,31288-30,WSC,,165,,1,0
1,300' Fiberglass Tape in Inches,74-Y3008,CST,,24.94,,1,0
1,"300' Fiberglass Tape, 10ths",74-Y3001,CST,,39,,1,0
1,300' Nyclad Steel Tape 10ths A End,82-30010A,CST,,74.25,,1,0
1,300' Nyclad Steel Tape 10ths B End,82-30010B,CST,,74.25,,1,0
1,300' Nyclad Steel Tape 8ths A End,82-30080A,CST,,74.25,,1,0
1,36 X 48 Deluxe Plan Hold Down Arm,0320-1500,GTCO,Will fit 36X48 or 44X60 Hardboards.,90,,1,0
1,"36"" Cone w/ Reflective Tape",TC36RFL,SPI,,19.96,,1,0
1,"36"" DOT Traffice Cone w'Reflect",T36RFL,SPI,,0,,1,0
1,"36"" Lath",36LATH,,,0.328,,1,0
1,"36"" Rhinotek HD Lath Bag",8100-20-GRN,Seco,,33.71,,1,0
1,"36"" Rhinotek HD Lath Bag",8100-20-ORG,Seco,,33.71,,1,0
1,"36"" Traffix Sign Ribs",TCR36TRAFFIX,,,8.8,,1,0
1,360 Degree mini prism for RMT606,571204312,Trimble,,357.5,,1,0
1,360 Prism w/height adapter,58128001,Trimble,,696.5,,1,0
1,3600 Battery Charger,7.08E+12,Trimble,,115.94,,1,0
1,3600 Series NiMH Battery Pack,7.03E+12,Trimble,,74.12,,1,0
1,3D Project Monitoring Plan for VL,84292-00,Trimble,,20,,1,0
1,3DS Battery Kit,CSCAC0001,Trimble,,0,,1,0
1,3m Direct Reading Rod w/cut/fill,GR1000MCF,LaserLine,,142.56,,1,0
1,4-Way Rexroth Solenoid Valve,AG-2523-1954,Trimble,,277.55,,1,0
1,4.0M Philly Metric Rod (13ft),92023,Crain,,44.55,,1,0
1,4.10 x 4 Tire Assy,142-039,,,32.73,,1,0
1,4.10 x 4 Tire Assy,142-502,,,0,,1,0
1,4.3m AS450 Exc. Bucket Y-Cable,58481-43,Trimble,4.3m,210,,1,0
1,4.6m Antenna Mount TM3 Cable,22720-10,Trimble,,202.5,,1,0
1,4' 8pin BD(F) to DB9F/DB9M/BNC Data,37382,Trimble,8-pin BD(F) to DB9(F)/DB9(M)/BNC Base Station Cable,94.5,,1,0
1,4' Range Pole,5160-00-WOR,Seco,,18.82,,1,0
1,4' Smartlevel,92296,M & D,,129.43,,1,0
1,4' Tripod Leg Set,302612-02,Trimble,,224.25,,1,0
1,"4"" Sight Pole",6330-10,Seco,,7.77,,1,0
1,"4"" Snap In Pipe Target",724,,,27.3,,1,0
1,"4"" x 4"" x 24"" Concrete Monuments",Monuments,,,5,,1,0
1,40-minute vial for Rover Rod,5085-052,Seco,,19.46,,1,0
1,"48"" Lath",48LATH,,,0,,1,0
1,"48"" Lath Bag w/Rhinotek Bottom",8101-20-GRN,Seco,,26.92,,1,0
1,"48"" Lath Bag w/Rhinotek Bottom-ORG",8101-20-ORG,Seco,,26.92,,1,0
1,4ft. Soil Probe,3MD49,Grainger,,20.7,,1,0
1,4lb Engineers Hammer,813012,Sokkia,,16.97,,1,0
1,4lb. Hammer,813018,Sokkia,,16.06,,1,0
1,4x5x21 Blue Wire Flag,4521B,Presco,,5.12,,1,0
1,4X5X21 Green Glow Wire Flag,4521GG,Presco,,5.12,,1,0
1,4x5x21 Orange Glow Wire Flag,4521OG,Presco,,5.12,,1,0
1,4x5x21 Pink Glow Wire Flag,4521PG,Presco,,5.12,,1,0
1,4x5x21 Red Wire Flag,4521R,Presco,,5.12,,1,0
1,4X5X21 White Wire Flag,4521W,Presco,,5.12,,1,0
1,4X5X21 Yellow Wire Flag,4521Y,Presco,,5.12,,1,0
1,4x5x30 Blue Wire Flag,4530B,Presco,,6.07,,1,0
